id,name,numberPlayer,medianAge,leagueId,url
1,Manchester City,32,26.9,1,https://www.transfermarkt.es/manchester-city/startseite/verein/281/saison_id/2024
2,Arsenal FC,23,26.7,1,https://www.transfermarkt.es/fc-arsenal/startseite/verein/11/saison_id/2024
3,Chelsea FC,35,23.1,1,https://www.transfermarkt.es/fc-chelsea/startseite/verein/631/saison_id/2024
4,Liverpool FC,24,26.8,1,https://www.transfermarkt.es/fc-liverpool/startseite/verein/31/saison_id/2024
5,Tottenham Hotspur,30,25.7,1,https://www.transfermarkt.es/tottenham-hotspur/startseite/verein/148/saison_id/2024
6,Newcastle United,31,28.3,1,https://www.transfermarkt.es/newcastle-united/startseite/verein/762/saison_id/2024
7,Manchester United,29,25.8,1,https://www.transfermarkt.es/manchester-united/startseite/verein/985/saison_id/2024
8,Aston Villa,24,27.9,1,https://www.transfermarkt.es/aston-villa/startseite/verein/405/saison_id/2024
9,Brighton & Hove Albion,31,26.0,1,https://www.transfermarkt.es/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2024
10,Nottingham Forest,28,27.1,1,https://www.transfermarkt.es/nottingham-forest/startseite/verein/703/saison_id/2024
11,Crystal Palace,29,25.9,1,https://www.transfermarkt.es/crystal-palace/startseite/verein/873/saison_id/2024
12,Brentford FC,30,25.2,1,https://www.transfermarkt.es/fc-brentford/startseite/verein/1148/saison_id/2024
13,AFC Bournemouth,26,25.4,1,https://www.transfermarkt.es/afc-bournemouth/startseite/verein/989/saison_id/2024
14,West Ham United,27,28.7,1,https://www.transfermarkt.es/west-ham-united/startseite/verein/379/saison_id/2024
15,Wolverhampton Wanderers,33,26.3,1,https://www.transfermarkt.es/wolverhampton-wanderers/startseite/verein/543/saison_id/2024
16,Fulham FC,26,28.3,1,https://www.transfermarkt.es/fc-fulham/startseite/verein/931/saison_id/2024
17,Everton FC,25,28.1,1,https://www.transfermarkt.es/fc-everton/startseite/verein/29/saison_id/2024
18,Southampton FC,32,26.4,1,https://www.transfermarkt.es/fc-southampton/startseite/verein/180/saison_id/2024
19,Leicester City,30,26.9,1,https://www.transfermarkt.es/leicester-city/startseite/verein/1003/saison_id/2024
20,Ipswich Town,29,27.4,1,https://www.transfermarkt.es/ipswich-town/startseite/verein/677/saison_id/2024
21,Real Madrid CF,27,26.7,3,https://www.transfermarkt.es/real-madrid/startseite/verein/418/saison_id/2024
22,FC Barcelona,26,25.2,3,https://www.transfermarkt.es/fc-barcelona/startseite/verein/131/saison_id/2024
23,Atlético de Madrid,25,29.2,3,https://www.transfermarkt.es/atletico-madrid/startseite/verein/13/saison_id/2024
24,Athletic Club,24,27.5,3,https://www.transfermarkt.es/athletic-bilbao/startseite/verein/621/saison_id/2024
25,Real Sociedad,26,25.6,3,https://www.transfermarkt.es/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2024
26,Villarreal CF,23,27.8,3,https://www.transfermarkt.es/fc-villarreal/startseite/verein/1050/saison_id/2024
27,Real Betis Balompié,25,28.5,3,https://www.transfermarkt.es/real-betis-sevilla/startseite/verein/150/saison_id/2024
28,Valencia CF,26,26.1,3,https://www.transfermarkt.es/fc-valencia/startseite/verein/1049/saison_id/2024
29,Sevilla FC,25,26.0,3,https://www.transfermarkt.es/fc-sevilla/startseite/verein/368/saison_id/2024
30,Girona FC,26,27.7,3,https://www.transfermarkt.es/fc-girona/startseite/verein/12321/saison_id/2024
31,RCD Espanyol,28,26.3,3,https://www.transfermarkt.es/espanyol-barcelona/startseite/verein/714/saison_id/2024
32,RC Celta de Vigo,25,26.9,3,https://www.transfermarkt.es/celta-vigo/startseite/verein/940/saison_id/2024
33,CA Osasuna,22,28.7,3,https://www.transfermarkt.es/ca-osasuna/startseite/verein/331/saison_id/2024
34,UD Las Palmas,24,28.0,3,https://www.transfermarkt.es/ud-las-palmas/startseite/verein/472/saison_id/2024
35,Getafe CF,25,27.1,3,https://www.transfermarkt.es/fc-getafe/startseite/verein/3709/saison_id/2024
36,RCD Mallorca,25,28.7,3,https://www.transfermarkt.es/rcd-mallorca/startseite/verein/237/saison_id/2024
37,Deportivo Alavés,24,26.9,3,https://www.transfermarkt.es/deportivo-alaves/startseite/verein/1108/saison_id/2024
38,Rayo Vallecano,25,30.1,3,https://www.transfermarkt.es/rayo-vallecano/startseite/verein/367/saison_id/2024
39,CD Leganés,24,28.0,3,https://www.transfermarkt.es/cd-leganes/startseite/verein/1244/saison_id/2024
40,Real Valladolid CF,24,27.3,3,https://www.transfermarkt.es/real-valladolid/startseite/verein/366/saison_id/2024
41,Inter de Milán,29,28.3,5,https://www.transfermarkt.es/inter-mailand/startseite/verein/46/saison_id/2024
42,Juventus de Turín,28,26.2,5,https://www.transfermarkt.es/juventus-turin/startseite/verein/506/saison_id/2024
43,Atalanta de Bérgamo,25,27.5,5,https://www.transfermarkt.es/atalanta-bergamo/startseite/verein/800/saison_id/2024
44,AC Milan,25,26.4,5,https://www.transfermarkt.es/ac-mailand/startseite/verein/5/saison_id/2024
45,SSC Nápoles,25,28.2,5,https://www.transfermarkt.es/ssc-neapel/startseite/verein/6195/saison_id/2024
46,AS Roma,26,26.5,5,https://www.transfermarkt.es/as-rom/startseite/verein/12/saison_id/2024
47,Bolonia,29,26.2,5,https://www.transfermarkt.es/fc-bologna/startseite/verein/1025/saison_id/2024
48,SS Lazio,31,26.6,5,https://www.transfermarkt.es/lazio-rom/startseite/verein/398/saison_id/2024
49,Fiorentina,25,26.1,5,https://www.transfermarkt.es/ac-florenz/startseite/verein/430/saison_id/2024
50,Como 1907,32,26.7,5,https://www.transfermarkt.es/como-1907/startseite/verein/1047/saison_id/2024
51,Torino FC,30,26.8,5,https://www.transfermarkt.es/fc-turin/startseite/verein/416/saison_id/2024
52,Parma,31,25.0,5,https://www.transfermarkt.es/parma-calcio-1913/startseite/verein/130/saison_id/2024
53,Génova,30,26.4,5,https://www.transfermarkt.es/genua-cfc/startseite/verein/252/saison_id/2024
54,Udinese,30,26.2,5,https://www.transfermarkt.es/udinese-calcio/startseite/verein/410/saison_id/2024
55,Hellas Verona,32,25.5,5,https://www.transfermarkt.es/hellas-verona/startseite/verein/276/saison_id/2024
56,Empoli FC,30,25.9,5,https://www.transfermarkt.es/fc-empoli/startseite/verein/749/saison_id/2024
57,Cagliari,24,27.3,5,https://www.transfermarkt.es/cagliari-calcio/startseite/verein/1390/saison_id/2024
58,Venezia FC,30,26.4,5,https://www.transfermarkt.es/venezia-fc/startseite/verein/607/saison_id/2024
59,US Lecce,34,25.1,5,https://www.transfermarkt.es/us-lecce/startseite/verein/1005/saison_id/2024
60,AC Monza,30,26.8,5,https://www.transfermarkt.es/ac-monza/startseite/verein/2919/saison_id/2024
61,Bayern Múnich,31,26.9,7,https://www.transfermarkt.es/fc-bayern-munchen/startseite/verein/27/saison_id/2024
62,Bayer 04 Leverkusen,25,26.9,7,https://www.transfermarkt.es/bayer-04-leverkusen/startseite/verein/15/saison_id/2024
63,Borussia Dortmund,31,24.8,7,https://www.transfermarkt.es/borussia-dortmund/startseite/verein/16/saison_id/2024
64,RB Leipzig,26,25.3,7,https://www.transfermarkt.es/rasenballsport-leipzig/startseite/verein/23826/saison_id/2024
65,Eintracht Fráncfort,27,25.6,7,https://www.transfermarkt.es/eintracht-frankfurt/startseite/verein/24/saison_id/2024
66,VfB Stuttgart,32,24.7,7,https://www.transfermarkt.es/vfb-stuttgart/startseite/verein/79/saison_id/2024
67,VfL Wolfsburgo,30,25.9,7,https://www.transfermarkt.es/vfl-wolfsburg/startseite/verein/82/saison_id/2024
68,SC Friburgo,27,27.6,7,https://www.transfermarkt.es/sc-freiburg/startseite/verein/60/saison_id/2024
69,1.FSV Mainz 05,24,27.4,7,https://www.transfermarkt.es/1-fsv-mainz-05/startseite/verein/39/saison_id/2024
70,Borussia Mönchengladbach,26,26.0,7,https://www.transfermarkt.es/borussia-monchengladbach/startseite/verein/18/saison_id/2024
71,TSG 1899 Hoffenheim,32,26.4,7,https://www.transfermarkt.es/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2024
