id,clubId,name,age,bornDate,url
1,1,Ederson,31,17/08/1993,https://www.transfermarkt.es/ederson/profil/spieler/238223
2,1,Stefan Ortega,32,06/11/1992,https://www.transfermarkt.es/stefan-ortega/profil/spieler/85941
3,1,Marcus Bettinelli,33,24/05/1992,https://www.transfermarkt.es/marcus-bettinelli/profil/spieler/116648
4,1,Scott Carson,39,03/09/1985,https://www.transfermarkt.es/scott-carson/profil/spieler/14555
5,1,Spike Brits,18,24/06/2007,https://www.transfermarkt.es/spike-brits/profil/spieler/1080903
6,1,Max Hudson,17,20/09/2007,https://www.transfermarkt.es/max-hudson/profil/spieler/1082283
7,1,Rúben Dias,28,14/05/1997,https://www.transfermarkt.es/ruben-dias/profil/spieler/258004
8,1,Abdukodir Khusanov,21,29/02/2004,https://www.transfermarkt.es/abdukodir-khusanov/profil/spieler/763079
9,1,Vitor Reis,19,12/01/2006,https://www.transfermarkt.es/vitor-reis/profil/spieler/1005575
10,1,Manuel Akanji,29,19/07/1995,https://www.transfermarkt.es/manuel-akanji/profil/spieler/284730
11,1,John Stones,31,28/05/1994,https://www.transfermarkt.es/john-stones/profil/spieler/186590
12,1,Nathan Aké,30,18/02/1995,https://www.transfermarkt.es/nathan-ake/profil/spieler/177476
13,1,Jahmai Simpson-Pusey,19,04/11/2005,https://www.transfermarkt.es/jahmai-simpson-pusey/profil/spieler/942497
14,1,Max Alleyne,19,21/07/2005,https://www.transfermarkt.es/max-alleyne/profil/spieler/843595
15,1,Kaden Braithwaite,17,08/02/2008,https://www.transfermarkt.es/kaden-braithwaite/profil/spieler/1078156
16,1,Josko Gvardiol,23,23/01/2002,https://www.transfermarkt.es/josko-gvardiol/profil/spieler/475959
17,1,Rayan Aït-Nouri,24,06/06/2001,https://www.transfermarkt.es/rayan-ait-nouri/profil/spieler/578391
18,1,Josh Wilson-Esbrand ,22,26/12/2002,https://www.transfermarkt.es/josh-wilson-esbrand/profil/spieler/576121
19,1,Rico Lewis,20,21/11/2004,https://www.transfermarkt.es/rico-lewis/profil/spieler/701057
20,1,Kyle Walker,35,28/05/1990,https://www.transfermarkt.es/kyle-walker/profil/spieler/95424
21,1,Issa Kaboré,24,12/05/2001,https://www.transfermarkt.es/issa-kabore/profil/spieler/649452
22,1,Rodri,29,22/06/1996,https://www.transfermarkt.es/rodri/profil/spieler/357565
23,1,Kalvin Phillips,29,02/12/1995,https://www.transfermarkt.es/kalvin-phillips/profil/spieler/351749
24,1,Jacob Wright,19,21/09/2005,https://www.transfermarkt.es/jacob-wright/profil/spieler/983702
25,1,Tijjani Reijnders,26,29/07/1998,https://www.transfermarkt.es/tijjani-reijnders/profil/spieler/460939
26,1,Nico González,23,03/01/2002,https://www.transfermarkt.es/nico-gonzalez/profil/spieler/466805
27,1,Matheus Nunes,26,27/08/1998,https://www.transfermarkt.es/matheus-nunes/profil/spieler/601883
28,1,Mateo Kovacic ,31,06/05/1994,https://www.transfermarkt.es/mateo-kovacic/profil/spieler/51471
29,1,İlkay Gündoğan,34,24/10/1990,https://www.transfermarkt.es/ilkay-gundogan/profil/spieler/53622
30,1,Bernardo Silva,30,10/08/1994,https://www.transfermarkt.es/bernardo-silva/profil/spieler/241641
31,1,Kevin De Bruyne,34,28/06/1991,https://www.transfermarkt.es/kevin-de-bruyne/profil/spieler/88755
32,1,James McAtee,22,18/10/2002,https://www.transfermarkt.es/james-mcatee/profil/spieler/583199
33,1,Claudio Echeverri,19,02/01/2006,https://www.transfermarkt.es/claudio-echeverri/profil/spieler/994536
34,1,Nico O'Reilly,20,21/03/2005,https://www.transfermarkt.es/nico-oreilly/profil/spieler/743413
35,1,Jérémy Doku,23,27/05/2002,https://www.transfermarkt.es/jeremy-doku/profil/spieler/486049
36,1,Jack Grealish,29,10/09/1995,https://www.transfermarkt.es/jack-grealish/profil/spieler/203460
37,1,Phil Foden,25,28/05/2000,https://www.transfermarkt.es/phil-foden/profil/spieler/406635
38,1,Savinho,21,10/04/2004,https://www.transfermarkt.es/savinho/profil/spieler/743591
39,1,Rayan Cherki,21,17/08/2003,https://www.transfermarkt.es/rayan-cherki/profil/spieler/607223
40,1,Oscar Bobb,21,12/07/2003,https://www.transfermarkt.es/oscar-bobb/profil/spieler/661207
