id,name,country,division,quantityClubs,quantityPlayers,medianAge,url
1,Premier League,England,1,20,574,26.6,https://www.transfermarkt.es/premier-league/startseite/wettbewerb/GB1
2,Championship,England,2,24,692,26.3,https://www.transfermarkt.es/championship/startseite/wettbewerb/GB2
3,La Liga,Spain,1,20,499,27.4,https://www.transfermarkt.es/laliga/startseite/wettbewerb/ES1
4,La Liga Segunda división,Spain,2,22,546,27.5,https://www.transfermarkt.es/segunda-division/startseite/wettbewerb/ES2
5,Serie A,Italy,1,20,575,26.5,https://www.transfermarkt.es/serie-a/startseite/wettbewerb/IT1
6,Serie B,Italy,2,20,568,26.7,https://www.transfermarkt.es/serie-b/startseite/wettbewerb/IT2
7,Bundesliga,Germany,1,18,509,26.5,https://www.transfermarkt.es/bundesliga/startseite/wettbewerb/L1
8,2. Bundesliga,Germany,2,18,526,26.0,https://www.transfermarkt.es/2-bundesliga/startseite/wettbewerb/L2
9,Ligue 1,France,1,18,472,26.0,https://www.transfermarkt.es/ligue-1/startseite/wettbewerb/FR1
1,Premier League,England,1,20,574,26.6,https://www.transfermarkt.es/premier-league/startseite/wettbewerb/GB1
2,Championship,England,2,24,692,26.3,https://www.transfermarkt.es/championship/startseite/wettbewerb/GB2
3,La Liga,Spain,1,20,499,27.4,https://www.transfermarkt.es/laliga/startseite/wettbewerb/ES1
4,La Liga Segunda división,Spain,2,22,546,27.5,https://www.transfermarkt.es/segunda-division/startseite/wettbewerb/ES2
5,Serie A,Italy,1,20,575,26.5,https://www.transfermarkt.es/serie-a/startseite/wettbewerb/IT1
6,Serie B,Italy,2,20,568,26.7,https://www.transfermarkt.es/serie-b/startseite/wettbewerb/IT2
7,Bundesliga,Germany,1,18,509,26.5,https://www.transfermarkt.es/bundesliga/startseite/wettbewerb/L1
8,2. Bundesliga,Germany,2,18,526,26.0,https://www.transfermarkt.es/2-bundesliga/startseite/wettbewerb/L2
9,Ligue 1,France,1,18,472,26.0,https://www.transfermarkt.es/ligue-1/startseite/wettbewerb/FR1
10,Ligue 2,France,2,18,463,26.6,https://www.transfermarkt.es/ligue-2/startseite/wettbewerb/FR2
11,Liga Portugal,Portugal,1,18,479,26.1,https://www.transfermarkt.es/liga-portugal/startseite/wettbewerb/PO1
1,Premier League,England,1,20,574,26.6,https://www.transfermarkt.es/premier-league/startseite/wettbewerb/GB1
1,Premier League,England,1,20,574,26.6,https://www.transfermarkt.es/premier-league/startseite/wettbewerb/GB1
